RecordId,ClosedYear,MonthOccurrence,County,NCIC,TotalNumberOfVictims,TotalNumberOfIndividualVictims,SuspectsRaceAsAGroup,TotalNumberOfSuspects,MostSeriousUcr,MostSeriousUcrType,MostSeriousLocation,MostSeriousBias,MostSeriousBiasType,MostSeriousVictimType,WeaponType,Offensive_Act,IsMultipleBias,TotalNumberOfIndividualVictimsAdult,TotalNumberOfIndividualVictimsJuvenile,TotalNumberOfSuspectsAdult,TotalNumberOfSuspectsJuvenile,SuspectsEthnicityAsAGroup
CA00-0000025892,2012,1,34,3400,2,2,White,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Other Religion,Religion,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025893,2012,1,34,3400,2,2,Black or African American,1,Intimidation,Violent Crimes,Convenience Store,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000025894,2012,1,19,1912,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Shopping Mall,Anti-Jewish,Religion,Business,,Graffiti,,,,,,
CA00-0000025895,2012,1,19,1900,1,1,Hispanic,2,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025896,2012,2,44,4400,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,
CA00-0000025897,2012,1,37,3702,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025898,2012,1,37,3702,1,1,Unknown,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Vehicle,Verbal slurs,,,,,,
CA00-0000025899,2012,1,42,4203,2,2,White,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Male,Gender,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025900,2012,2,30,3019,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025902,2012,1,4,402,1,1,Unknown,0,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025903,2012,1,33,3311,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,,Verbal slurs,,,,,,
CA00-0000025904,2012,2,38,3801,1,1,Hispanic,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025905,2012,1,1,107,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Religious,,Graffiti,,,,,,
CA00-0000025908,2012,2,19,1942,1,1,Unknown,0,Burglary,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025909,2012,2,38,3801,2,2,East Indian/Asian Indian,1,Simple Assault,Violent Crimes,Other/Unknown,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025910,2012,2,38,3801,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025911,2012,2,38,3801,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Multiple Races (Group),Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025912,2012,2,19,1942,1,1,Black or African American,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025913,2012,2,37,3712,1,1,Unknown,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025916,2012,2,19,1942,1,1,Hispanic,1,Arson,Property Crimes,Residence/Home/Driveway,Anti-Transgender,Gender Nonconforming,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025917,2012,2,19,1942,1,1,White,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025918,2012,2,19,1942,1,1,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025919,2012,2,19,1942,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,Knife or other cutting or stabbing instrument,Damage to vehicle,,,,,,
CA00-0000025920,2012,2,19,1942,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Damage to vehicle,,,,,,
CA00-0000025921,2012,2,19,1942,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Lesbian,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Other,,,,,,
CA00-0000025923,2012,2,37,3706,2,2,Hispanic,1,Aggravated Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025924,2012,3,30,3019,2,2,Black or African American,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025926,2012,2,19,1942,1,1,Unknown,0,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Threatening letters/flyers/email,,,,,,
CA00-0000025927,2012,2,37,3710,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-Elementary/Secondary,Anti-Asian,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025928,2012,2,11,1101,1,1,Unknown,0,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Unknown,Damage to vehicle,,,,,,
CA00-0000025929,2012,2,19,1984,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-College/University,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,
CA00-0000025930,2012,2,19,1984,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,School-College/University,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,
CA00-0000025935,2012,2,44,4400,1,1,White,2,Intimidation,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000025936,2012,2,30,3010,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025937,2012,2,19,1996,1,1,Hispanic,1,Aggravated Assault,Violent Crimes,Department/Discount Store,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025938,2012,2,19,1936,1,1,White,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000025940,2012,2,37,3711,3,3,Black or African American,1,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000025941,2012,2,37,3711,1,1,Hispanic,1,Intimidation,Violent Crimes,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025942,2012,2,37,3711,3,3,Hispanic,10,Robbery,Violent Crimes,Field/Woods/Park,Anti-Lesbian/Gay/Bisexual or Transgender (Mixed Group),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025943,2012,2,19,1950,1,1,Hispanic,2,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025944,2012,2,48,4801,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Gay (Male),Sexual Orientation,Religious,,Graffiti,,,,,,
CA00-0000025945,2012,2,19,192U,1,1,Black or African American,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-White,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025946,2012,2,19,1980,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000025947,2012,2,19,1950,1,1,Black or African American,1,Simple Assault,Violent Crimes,School-Elementary/Secondary,Anti-Bisexual,Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025948,2012,2,19,1950,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Knife or other cutting or stabbing instrument,Verbal slurs,,,,,,
CA00-0000025949,2012,2,19,1950,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,
CA00-0000025950,2012,2,19,1950,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000025951,2012,2,19,1950,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Damage to vehicle,,,,,,
CA00-0000025952,2012,2,19,1943,1,1,Hispanic,1,Intimidation,Violent Crimes,School-Elementary/Secondary,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000025953,2012,2,19,191R,1,0,White,2,Burglary,Property Crimes,Church/Synagogue/Temple,Anti-Multiple Religions (Group),Religion,Religious,,Graffiti,TRUE,,,,,
CA00-0000025955,2012,2,37,3702,1,1,White,1,Simple Assault,Violent Crimes,Restaurant,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025957,2012,2,34,3400,1,1,Hispanic,1,Simple Assault,Violent Crimes,School-Elementary/Secondary,Anti-Gay (Male),Sexual Orientation,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025958,2012,2,19,1952,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025959,2012,2,19,191W,1,1,White,1,Burglary,Property Crimes,Residence/Home/Driveway,Anti-Asian,Race/Ethnicity/Ancestry,Person,,Rock throwing,,,,,,
CA00-0000025960,2012,2,1,103,3,3,Unknown,2,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,"Other gun (pellet, BB, stun gun, etc.)",Disturbing public assembly/meeting,,,,,,
CA00-0000025961,2012,1,1,112,1,1,Unknown,1,Simple Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000025962,2012,2,1,112,1,1,White,1,Intimidation,Violent Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000025963,2012,2,1,113,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Church/Synagogue/Temple,Anti-Catholic,Religion,Religious,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000025964,2012,3,19,1942,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025965,2012,2,19,1912,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Highway/Road/Alley/Street,Anti-Other Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,Person,,Graffiti,,,,,,
CA00-0000025966,2012,2,3,300,1,1,White,1,Destruction/Damage/Vandalism,Property Crimes,Restaurant,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,
CA00-0000025967,2012,1,3,300,1,1,White,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,Unknown,Verbal slurs,,,,,,
CA00-0000025968,2012,1,4,400,3,3,White,1,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Other,,,,,,
CA00-0000025969,2012,1,7,710,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Daubing of swastika,,,,,,
CA00-0000025970,2012,1,12,1203,1,1,White,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,,Verbal slurs,,,,,,
CA00-0000025971,2012,1,15,1509,1,1,Black or African American,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-White,Race/Ethnicity/Ancestry,Person,"Other gun (pellet, BB, stun gun, etc.)",Other,,,,,,
CA00-0000025972,2012,2,19,1916,1,1,Hispanic,3,Aggravated Assault,Violent Crimes,Highway/Road/Alley/Street,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Blunt object (blugeon, club, etc.)",Verbal slurs,,,,,,
CA00-0000025973,2012,1,19,1965,1,1,White,1,Simple Assault,Violent Crimes,Air/Bus/Train Terminal,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Other (bottle, rocks, spitting)",Verbal slurs,,,,,,
CA00-0000025974,2012,2,19,1972,2,2,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Graffiti,,,,,,
CA00-0000025975,2012,2,30,3005,1,0,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Park/Playground,Anti-Black or African American,Race/Ethnicity/Ancestry,Government,,Graffiti,,,,,,
CA00-0000025976,2012,1,30,3007,1,1,White,1,Simple Assault,Violent Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Verbal slurs,,,,,,
CA00-0000025977,2012,1,30,3026,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Jewish,Religion,Person,,Graffiti,,,,,,
CA00-0000025978,2012,1,33,3313,1,1,Hispanic,1,Simple Assault,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025979,2012,2,33,3315,1,1,White,1,Aggravated Assault,Violent Crimes,Residence/Home/Driveway,Anti-Hispanic or Latino,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025980,2012,1,33,3318,1,1,White,1,Intimidation,Violent Crimes,Parking Lot/Garage,Anti-Black or African American,Race/Ethnicity/Ancestry,Person,"Personal weapons (hands, feet, teeth, etc.)",Verbal slurs,,,,,,
CA00-0000025981,2012,2,33,3330,1,1,Unknown,0,Destruction/Damage/Vandalism,Property Crimes,Residence/Home/Driveway,Anti-Gay (Male),Sexual Orientation,Person,,Damage to vehicle,,,,,,
